name,year,selling_price, km_driven ,fuel,seller_type,transmission,owner,Year Grouping
Hyundai Creta 1.4 EX Diesel,2020,"?1,050,000","10,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai Verna CRDi 1.6 SX,2017,"?900,000","50,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Maruti Alto LX,2007,"?100,000","52,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Hyundai i20 Asta 1.4 CRDi,2013,"?300,000","90,000",Diesel,Individual,Manual,First Owner,2011 -2015
Tata Indigo LX,2011,"?140,000","60,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,"?550,000","35,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Mahindra XUV500 W8 4WD,2012,"?650,000","71,042",Diesel,Dealer,Manual,First Owner,2011 -2015
Mitsubishi Pajero Sport 4X4,2012,"?1,025,000","167,870",Diesel,Dealer,Manual,Second Owner,2011 -2015
Ford Fiesta 1.5 TDCi Titanium,2011,"?195,000","133,564",Diesel,Dealer,Manual,First Owner,2011 -2015
BMW 3 Series 320d Sport,2013,"?1,490,000","40,000",Diesel,Dealer,Automatic,First Owner,2011 -2015
Honda City i-VTEC CVT ZX,2018,"?1,140,000","23,038",Petrol,Trustmark Dealer,Automatic,First Owner,2016 - 2020
Chevrolet Beat Diesel LS,2011,"?95,000","70,000",Diesel,Individual,Manual,First Owner,2011 -2015
BMW 3 Series GT Luxury Line,2017,"?3,050,000","30,000",Diesel,Individual,Automatic,First Owner,2016 - 2020
Maruti Baleno Delta 1.2,2017,"?585,000","43,608",Petrol,Trustmark Dealer,Manual,First Owner,2016 - 2020
Maruti Baleno Alpha CVT,2018,"?825,000","11,212",Petrol,Trustmark Dealer,Automatic,First Owner,2016 - 2020
Hyundai i20 1.4 Magna Executive,2013,"?280,000","52,000",Diesel,Dealer,Manual,First Owner,2011 -2015
Maruti Baleno Zeta,2016,"?725,000","49,217",Petrol,Trustmark Dealer,Manual,First Owner,2016 - 2020
Mahindra Verito 1.5 D4 BSIV,2015,"?300,000","90,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai Xcent 1.2 Kappa S,2015,"?375,000","70,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Honda City VTEC,2003,"?310,000","90,000",Petrol,Individual,Manual,Fourth & Above Owner,2001 - 2005
Maruti Swift Dzire VDi,2011,"?375,000","190,000",Diesel,Individual,Manual,Third Owner,2011 -2015
Ford Endeavour 3.2 Titanium AT 4X4,2016,"?1,950,000","106,000",Diesel,Individual,Automatic,First Owner,2016 - 2020
Tata Xenon XT EX 4X2,2012,"?400,000","80,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Nissan Terrano XL Plus 85 PS,2014,"?550,000","80,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Maruti Eeco 7 Seater Standard BSIV,2018,"?270,000","20,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Ertiga ZDI,2012,"?555,000","110,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Ford Ecosport 1.5 DV5 MT Ambiente,2013,"?500,000","60,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Skoda Laura Elegance 1.9 TDI  AT,2010,"?400,000","130,000",Diesel,Individual,Automatic,Second Owner,2011 -2015
Hyundai EON 1.0 Era Plus,2017,"?280,000","28,838",Petrol,Individual,Manual,First Owner,2016 - 2020
Tata Indica GLS BS IV,2008,"?80,000","200,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Tata Indica DLS,2006,"?55,000","100,000",Diesel,Individual,Manual,First Owner,2006 - 2010
Maruti Alto 800 LXI Airbag,2014,"?250,000","50,000",Petrol,Individual,Manual,First Owner,2011 -2015
Mahindra Bolero SLX 2WD,2010,"?250,000","190,000",Diesel,Individual,Manual,Fourth & Above Owner,2011 -2015
Mahindra Jeep MM 540,2007,"?95,000","100,000",Diesel,Individual,Manual,Second Owner,2006 - 2010
Mahindra Scorpio 1.99 S10,2014,"?725,000","135,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Mahindra Bolero Power Plus Plus AC BSIV PS,2015,"?320,000","50,000",Diesel,Individual,Manual,Third Owner,2016 - 2020
Skoda Octavia Elegance 2.0 TDI AT,2014,"?1,200,000","135,000",Diesel,Individual,Automatic,Third Owner,2011 -2015
Chevrolet Beat Diesel LS,2012,"?160,000","50,000",Diesel,Individual,Manual,First Owner,2011 -2015
Honda Jazz 1.5 VX i DTEC,2018,"?790,000","19,571",Diesel,Dealer,Manual,First Owner,2016 - 2020
Honda City i-VTEC ZX,2018,"?1,200,000","29,600",Petrol,Dealer,Manual,First Owner,2016 - 2020
Maruti Swift LXI,2011,"?175,000","70,000",Petrol,Individual,Manual,First Owner,2011 -2015
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,2018,"?950,000","15,000",Diesel,Individual,Automatic,First Owner,2016 - 2020
Maruti Celerio LXI MT BSIV,2019,"?340,000","50,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Renault Captur 1.5 Diesel RXT,2017,"?825,000","13,500",Diesel,Individual,Manual,First Owner,2016 - 2020
Audi A4 30 TFSI Technology,2018,"?3,100,000","22,000",Petrol,Individual,Automatic,First Owner,2016 - 2020
Honda Amaze VX Diesel BSIV,2018,"?780,000","25,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
Toyota Corolla Altis 1.8 VL AT,2010,"?350,000","80,000",Petrol,Individual,Automatic,Third Owner,2011 -2015
Honda Amaze VX Petrol BSIV,2018,"?690,000","39,000",Petrol,Dealer,Manual,First Owner,2016 - 2020
Maruti Alto 800 VXI,2016,"?245,000","60,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Honda Amaze VX Diesel BSIV,2018,"?790,000","49,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
Honda Amaze VX i-VTEC,2018,"?680,000","48,600",Petrol,Dealer,Manual,First Owner,2016 - 2020
Hyundai Grand i10 Asta Option,2017,"?540,000","20,000",Petrol,Individual,Manual,Second Owner,2016 - 2020
Mahindra KUV 100 mFALCON G80 K2,2016,"?425,000","25,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Zen Estilo Sports,2008,"?140,000","120,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Maruti Ertiga ZDI Plus,2019,"?1,100,000","30,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Renault Lodgy 85PS RxL,2015,"?715,000","35,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Audi Q3 2.0 TDI Quattro Premium Plus,2015,"?1,750,000","127,643",Diesel,Dealer,Automatic,First Owner,2016 - 2020
Tata Zest Revotron 1.2T XMS,2018,"?400,000","54,000",Petrol,Dealer,Manual,Second Owner,2016 - 2020
Audi A6 2.0 TDI  Design Edition,2014,"?1,750,000","102,354",Diesel,Dealer,Automatic,First Owner,2011 -2015
Audi Q5 2.0 TFSI Quattro Premium Plus,2014,"?1,850,000","62,237",Petrol,Dealer,Automatic,First Owner,2011 -2015
Hyundai Santro Xing XL eRLX Euro III,2005,"?114,999","90,000",Petrol,Dealer,Manual,Second Owner,2006 - 2010
Ford EcoSport 1.5 TDCi Titanium BSIV,2018,"?950,000","21,394",Diesel,Dealer,Manual,First Owner,2016 - 2020
Datsun GO T Petrol,2015,"?310,000","32,686",Petrol,Dealer,Manual,First Owner,2016 - 2020
Mahindra Jeep CJ 500 DI,2006,"?575,000","1,001",Diesel,Dealer,Manual,First Owner,2006 - 2010
Renault Pulse RxZ,2017,"?490,000","22,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
Hyundai Grand i10 Magna,2017,"?480,000","53,261",Petrol,Dealer,Manual,First Owner,2016 - 2020
Land Rover Discovery Sport SD4 HSE Luxury,2016,"?3,500,000","53,000",Diesel,Dealer,Automatic,First Owner,2016 - 2020
Renault KWID 1.0 RXT Optional,2018,"?370,000","10,000",Petrol,Dealer,Manual,First Owner,2016 - 2020
Maruti Baleno Alpha 1.3,2017,"?835,000","14,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
Volkswagen Polo 2015-2019 1.2 MPI Highline,2017,"?650,000","44,000",Petrol,Dealer,Manual,First Owner,2016 - 2020
Toyota Etios VD,2014,"?670,000","39,895",Diesel,Dealer,Manual,First Owner,2011 -2015
Chevrolet Cruze LTZ AT,2017,"?950,000","73,000",Diesel,Dealer,Automatic,First Owner,2016 - 2020
Honda City i-VTEC SV,2014,"?690,000","17,000",Petrol,Dealer,Manual,First Owner,2011 -2015
Volkswagen Polo 2015-2019 1.2 MPI Highline,2017,"?670,000","18,591",Petrol,Dealer,Manual,First Owner,2016 - 2020
Tata Nexon 1.5 Revotorq XZ,2017,"?925,000","26,766",Diesel,Dealer,Manual,First Owner,2016 - 2020
Hyundai EON Magna Plus,2015,"?250,000","30,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Tata Sumo Gold EX,2016,"?509,999","42,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Honda City i DTEC VX,2014,"?520,000","110,000",Diesel,Individual,Manual,First Owner,2011 -2015
Tata Indica DLE,2005,"?100,000","100,000",Diesel,Individual,Manual,First Owner,2006 - 2010
Tata Indica DLS,2006,"?85,000","300,000",Diesel,Individual,Manual,Second Owner,2006 - 2010
Tata Indigo LX,2009,"?130,000","110,000",Diesel,Individual,Manual,Third Owner,2006 - 2010
Ford EcoSport 1.5 TDCi Titanium BSIV,2018,"?950,000","27,620",Diesel,Dealer,Manual,First Owner,2016 - 2020
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,"?450,000","70,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Honda City S,2012,"?320,000","50,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Maruti Swift Dzire VDI,2015,"?480,000","50,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Mercedes-Benz New C-Class C 220 CDI Grand Edition,2014,"?2,490,000","46,000",Diesel,Individual,Automatic,First Owner,2011 -2015
Toyota Innova 2.5 VX 8 STR,2012,"?790,000","82,000",Diesel,Individual,Manual,First Owner,2011 -2015
Maruti Omni MPI STD BSIV,2016,"?120,000","120,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Alto LXi,2006,"?75,000","80,000",Petrol,Individual,Manual,Third Owner,2006 - 2010
Tata Indica GLS BS IV,2010,"?99,000","70,000",Petrol,Individual,Manual,First Owner,2011 -2015
Maruti S-Cross Zeta DDiS 200 SH,2018,"?1,015,000","20,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Mahindra Xylo D4 BSIV,2013,"?250,000","200,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Toyota Innova Crysta 2.5 VX BS IV,2011,"?520,000","120,000",Diesel,Individual,Manual,First Owner,2011 -2015
Hyundai Verna CRDi 1.6 AT SX Option,2018,"?1,100,000","30,000",Diesel,Individual,Automatic,First Owner,2016 - 2020
Toyota Innova 2.5 V Diesel 7-seater,2005,"?200,000","223,000",Diesel,Individual,Manual,First Owner,2006 - 2010
Maruti Swift Dzire VDI,2016,"?525,000","60,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai i20 Asta 1.2,2016,"?500,000","40,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Mahindra Scorpio S2 7 Seater,2016,"?675,000","161,327",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai i10 Magna 1.2 iTech SE,2009,"?150,000","60,000",Petrol,Individual,Manual,Third Owner,2006 - 2010
Mahindra Bolero DI,2007,"?250,000","50,000",Diesel,Individual,Manual,First Owner,2006 - 2010
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018,"?450,000","6,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Hyundai Santro Xing XS,2009,"?150,000","68,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Chevrolet Beat Diesel LS,2012,"?200,000","85,000",Diesel,Individual,Manual,First Owner,2011 -2015
Mahindra Scorpio VLS AT 2.2 mHAWK,2011,"?525,000","70,000",Diesel,Individual,Automatic,First Owner,2011 -2015
Maruti Esteem VX,1999,"?60,000","35,000",Petrol,Individual,Manual,Second Owner,1992 - 2000
Maruti Swift Vdi BSIII,2010,"?180,000","100,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Honda Amaze S i-Dtech,2015,"?475,000","110,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Mahindra Scorpio VLS AT 2.2 mHAWK,2010,"?380,000","195,000",Diesel,Individual,Automatic,Second Owner,2011 -2015
Maruti Alto 800 LXI,2015,"?285,000","46,000",Petrol,Individual,Manual,Second Owner,2016 - 2020
Maruti Alto LXi BSIII,2008,"?91,200","60,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Hyundai Grand i10 CRDi Sportz,2015,"?400,000","42,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai Santro Xing XG AT,2006,"?160,000","90,000",Petrol,Individual,Automatic,Second Owner,2006 - 2010
Skoda Yeti Ambition 4X2,2012,"?650,000","85,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Hyundai Verna 1.6 SX,2012,"?409,999","120,000",Diesel,Individual,Manual,Third Owner,2011 -2015
Ford Ecosport 1.5 DV5 MT Titanium,2013,"?425,000","72,000",Diesel,Individual,Manual,First Owner,2011 -2015
Maruti Wagon R LXI CNG,2013,"?250,000","71,000",CNG,Individual,Manual,Second Owner,2011 -2015
Maruti Swift Dzire VXi,2009,"?200,000","110,000",Petrol,Individual,Manual,Fourth & Above Owner,2006 - 2010
Volkswagen Polo Diesel Trendline 1.2L,2010,"?130,000","144,000",Diesel,Individual,Manual,Fourth & Above Owner,2011 -2015
Maruti Eeco 5 Seater AC BSIV,2017,"?260,000","30,000",Petrol,Dealer,Manual,First Owner,2016 - 2020
Hyundai Verna SX,2007,"?155,000","65,000",Petrol,Dealer,Manual,First Owner,2006 - 2010
Honda Jazz 1.5 VX i DTEC,2015,"?450,000","38,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Maruti SX4 Celebration Petrol,2012,"?220,000","90,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Hyundai i20 Active S Diesel,2018,"?650,000","37,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
Maruti Alto 800 LXI,2018,"?285,000","30,000",Petrol,Dealer,Manual,First Owner,2016 - 2020
Honda Amaze V CVT Petrol BSIV,2018,"?725,000","26,000",Petrol,Dealer,Automatic,First Owner,2016 - 2020
Maruti Ciaz ZXi,2016,"?625,000","30,000",Petrol,Dealer,Manual,First Owner,2016 - 2020
Hyundai i20 Active SX Petrol,2016,"?550,000","23,000",Petrol,Dealer,Manual,First Owner,2016 - 2020
Hyundai i10 Magna,2012,"?240,000","40,000",Petrol,Dealer,Manual,First Owner,2011 -2015
Nissan Terrano XL 85 PS,2014,"?600,000","27,000",Diesel,Dealer,Manual,First Owner,2011 -2015
Tata New Safari DICOR 2.2 EX 4x2,2012,"?350,000","65,000",Diesel,Dealer,Manual,First Owner,2011 -2015
Hyundai EON Magna Plus,2015,"?245,000","32,000",Petrol,Dealer,Manual,First Owner,2016 - 2020
Mahindra Bolero B6,2016,"?600,000","56,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
BMW X1 sDrive 20d xLine,2017,"?2,400,000","30,000",Diesel,Individual,Automatic,First Owner,2016 - 2020
Mahindra Scorpio SLE BS IV,2014,"?620,000","80,000",Diesel,Dealer,Manual,First Owner,2011 -2015
Maruti Swift Dzire 1.2 Vxi BSIV,2014,"?395,000","52,000",Petrol,Dealer,Manual,Second Owner,2011 -2015
Maruti Ertiga ZXI,2014,"?635,000","13,250",Petrol,Dealer,Manual,First Owner,2011 -2015
Maruti Alto LX,2011,"?180,000","36,000",Petrol,Dealer,Manual,First Owner,2011 -2015
Maruti Swift ZDI Plus,2015,"?484,999","73,000",Diesel,Dealer,Manual,Second Owner,2016 - 2020
Maruti Alto LX,2004,"?110,000","60,000",Petrol,Individual,Manual,First Owner,2001 - 2005
Maruti Wagon R VXI BSIII,2006,"?150,000","60,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Chevrolet Tavera Neo 2 LT L 9 Str,2012,"?400,000","110,000",Diesel,Individual,Manual,First Owner,2011 -2015
Tata Indica Vista Aura Plus 1.3 Quadrajet,2012,"?200,000","70,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Renault Duster 85PS Diesel RxL Plus,2013,"?302,000","60,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Maruti Swift Dzire Vdi BSIV,2011,"?215,000","90,000",Diesel,Individual,Manual,Fourth & Above Owner,2011 -2015
Maruti Wagon R VXI BSIII,2004,"?155,000","80,000",Petrol,Individual,Manual,Second Owner,2001 - 2005
Toyota Innova 2.5 G (Diesel) 8 Seater,2014,"?1,000,000","101,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Mahindra Bolero Power Plus SLX,2018,"?550,000","44,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Maruti Swift 1.3 VXi,2006,"?200,000","45,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Mahindra Scorpio S2 7 Seater,2017,"?750,000","120,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Maruti Zen LXI,2005,"?90,000","90,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Maruti Wagon R LXI Minor,2007,"?80,000","120,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Hyundai EON D Lite Plus,2013,"?229,999","13,500",Petrol,Individual,Manual,First Owner,2011 -2015
Renault KWID 1.0 RXT Optional,2017,"?350,000","10,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Hyundai Grand i10 Magna,2015,"?325,000","25,000",Petrol,Individual,Manual,Third Owner,2016 - 2020
Tata Tigor 1.2 Revotron XT,2018,"?450,000","8,500",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti SX4 Celebration Diesel,2012,"?250,000","120,000",Diesel,Individual,Manual,First Owner,2011 -2015
Volkswagen Polo Diesel Comfortline 1.2L,2012,"?225,000","120,000",Diesel,Individual,Manual,First Owner,2011 -2015
Maruti Alto LXi,2009,"?150,000","90,246",Petrol,Individual,Manual,Third Owner,2006 - 2010
Maruti Alto LX BSIII,2008,"?110,000","90,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Maruti Alto LXi BSIII,2010,"?150,000","40,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Maruti Gypsy King Hard Top,2000,"?165,000","60,000",Petrol,Individual,Manual,Fourth & Above Owner,2001 - 2005
Renault Duster 85PS Diesel RxL,2017,"?610,000","32,000",Diesel,Individual,Manual,Second Owner,2016 - 2020
Tata Manza Club Class Quadrajet90 VX,2013,"?170,000","60,400",Diesel,Individual,Manual,First Owner,2011 -2015
Hyundai Verna CRDi,2008,"?150,000","70,950",Diesel,Individual,Manual,Second Owner,2006 - 2010
Hyundai Xcent 1.1 CRDi Base,2015,"?375,000","72,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Maruti Swift VDI,2013,"?390,000","90,000",Diesel,Individual,Manual,First Owner,2011 -2015
Hyundai i20 Active 1.2 S,2017,"?600,000","10,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Alto 800 LXI,2014,"?204,999","25,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Hyundai Verna CRDi,2009,"?270,000","80,000",Diesel,Individual,Manual,Second Owner,2006 - 2010
Hyundai Grand i10 Sportz,2017,"?375,000","10,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Baleno Zeta,2020,"?700,000","1,100",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Swift VXI Deca,2017,"?455,000","40,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Hyundai i10 Sportz 1.1L,2017,"?375,000","10,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Hyundai Grand i10 Asta,2014,"?341,000","31,491",Petrol,Individual,Manual,First Owner,2011 -2015
Maruti Swift Dzire VDI,2014,"?200,000","107,143",Diesel,Individual,Manual,Second Owner,2011 -2015
Maruti Ignis 1.2 AMT Delta BSIV,2017,"?450,000","15,000",Petrol,Individual,Automatic,First Owner,2016 - 2020
Hyundai Santro Xing GL Plus,2012,"?170,000","50,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Toyota Innova Crysta 2.4 VX MT 8S BSIV,2017,"?1,900,000","100,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Mahindra Bolero Power Plus LX,2016,"?500,000","60,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Maruti Vitara Brezza ZDi Plus,2016,"?819,999","85,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Maruti Swift 1.2 DLX,2014,"?351,000","40,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Hyundai i10 Magna 1.2 iTech SE,2011,"?195,000","80,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Maruti Swift Dzire VDi,2008,"?250,000","82,000",Diesel,Individual,Manual,Second Owner,2006 - 2010
Maruti Zen Estilo 1.1 VXI BSIII,2008,"?120,000","70,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Maruti A-Star Vxi,2009,"?180,000","70,000",Petrol,Individual,Manual,Third Owner,2006 - 2010
Mahindra KUV 100 mFALCON D75 K6,2016,"?430,000","20,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Tata Nano Cx BSIV,2012,"?75,000","35,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Mahindra Xylo D4,2017,"?750,000","80,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Tata Nano Lx,2011,"?60,000","40,000",Petrol,Individual,Manual,First Owner,2011 -2015
Toyota Innova 2.5 VX (Diesel) 8 Seater,2015,"?1,500,000","46,412",Diesel,Individual,Manual,First Owner,2016 - 2020
Mahindra Bolero SLX 2WD BSIII,2011,"?390,000","150,000",Diesel,Individual,Manual,Fourth & Above Owner,2011 -2015
Mahindra TUV 300 T4,2016,"?630,000","50,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Tata Safari Storme VX Varicor 400,2018,"?1,085,000","15,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai i10 Magna 1.2 iTech SE,2012,"?190,000","60,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Maruti Baleno Delta Automatic,2018,"?550,000","25,000",Petrol,Individual,Automatic,First Owner,2016 - 2020
Maruti Alto 800 LXI,2012,"?200,000","90,000",Petrol,Individual,Manual,Third Owner,2011 -2015
Chevrolet Spark 1.0 LT,2011,"?165,000","60,000",Petrol,Individual,Manual,First Owner,2011 -2015
Ford Figo Diesel Celebration Edition,2013,"?260,000","65,000",Diesel,Individual,Manual,First Owner,2011 -2015
Maruti Alto LX,2011,"?151,000","40,000",Petrol,Individual,Manual,First Owner,2011 -2015
Maruti Vitara Brezza VDi,2018,"?780,000","50,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Tata Indica Vista Quadrajet LX,2012,"?175,000","80,000",Diesel,Individual,Manual,Third Owner,2011 -2015
Tata Indica Vista TDI LS,2010,"?170,000","107,500",Diesel,Dealer,Manual,First Owner,2011 -2015
Tata Indica Vista TDI LS,2013,"?210,000","135,000",Diesel,Dealer,Manual,Second Owner,2011 -2015
Maruti Alto LXi,2007,"?90,000","43,826",Petrol,Dealer,Manual,Second Owner,2006 - 2010
Hyundai i20 Active S Petrol,2016,"?535,000","55,838",Petrol,Dealer,Manual,First Owner,2016 - 2020
Maruti Swift VDI BSIV,2007,"?195,000","112,880",Diesel,Dealer,Manual,First Owner,2006 - 2010
Tata Indica Vista Terra Quadrajet 1.3L,2011,"?140,000","90,000",Diesel,Individual,Manual,Third Owner,2011 -2015
Nissan Sunny XL,2012,"?350,000","40,000",Petrol,Individual,Manual,First Owner,2011 -2015
Hyundai Verna 1.6 SX VTVT (O),2013,"?425,000","66,000",Petrol,Individual,Manual,First Owner,2011 -2015
Renault KWID 1.0 RXT Optional,2017,"?300,000","30,300",Petrol,Individual,Manual,First Owner,2016 - 2020
Volkswagen Vento Diesel Style Limited Edition,2013,"?340,000","85,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Maruti Swift Dzire VXi,2009,"?250,000","80,659",Petrol,Dealer,Manual,First Owner,2006 - 2010
Chevrolet Aveo 1.4 LS,2008,"?170,000","81,324",Petrol,Dealer,Manual,First Owner,2006 - 2010
Honda Amaze S i-Dtech,2013,"?315,000","127,884",Diesel,Dealer,Manual,First Owner,2011 -2015
Chevrolet Beat PS,2015,"?200,000","50,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Chevrolet Beat PS,2016,"?300,000","25,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Honda Amaze S i-Dtech,2015,"?300,000","66,755",Diesel,Dealer,Manual,First Owner,2016 - 2020
Honda City E,2013,"?380,000","123,084",Petrol,Dealer,Manual,First Owner,2011 -2015
Maruti Swift VXI BSIII,2009,"?250,000","806,599",Petrol,Dealer,Manual,First Owner,2006 - 2010
Honda Amaze S i-Dtech,2013,"?310,000","95,851",Diesel,Dealer,Manual,First Owner,2011 -2015
Maruti Wagon R VXI Minor ABS,2010,"?260,000","50,000",Petrol,Individual,Manual,First Owner,2011 -2015
Maruti Omni BSIII 8-STR W/ IMMOBILISER,2008,"?150,000","50,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Maruti Esteem Vxi - BSIII,2006,"?85,000","60,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Maruti Alto 800 LXI,2015,"?280,000","15,000",Petrol,Individual,Manual,Second Owner,2016 - 2020
Mahindra Xylo H4 ABS,2016,"?850,000","40,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Datsun GO Plus T Option BSIV,2017,"?375,000","20,000",Petrol,Individual,Manual,Second Owner,2016 - 2020
Hyundai Elantra CRDi (Leather Option),2006,"?125,000","120,000",Diesel,Individual,Manual,Third Owner,2006 - 2010
Chevrolet Beat Diesel LT,2012,"?250,000","110,000",Diesel,Individual,Manual,First Owner,2011 -2015
Toyota Corolla Altis D-4D J,2014,"?715,000","234,000",Diesel,Individual,Manual,First Owner,2011 -2015
Hyundai i20 1.4 CRDi Era,2011,"?220,000","70,000",Diesel,Individual,Manual,First Owner,2011 -2015
Tata Indica Vista Aqua 1.3 Quadrajet,2010,"?110,000","110,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Hyundai Verna XXi (Petrol),2007,"?150,000","84,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Nissan Sunny Diesel XV,2012,"?300,000","170,000",Diesel,Individual,Manual,First Owner,2011 -2015
Datsun RediGO T Option,2017,"?220,000","40,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Wagon R LX,2006,"?75,000","96,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Tata Indigo LS,2009,"?100,000","20,000",Diesel,Individual,Manual,First Owner,2006 - 2010
Ford Figo Aspire 1.2 Ti-VCT Trend,2016,"?380,000","15,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Hyundai Santro Xing XK (Non-AC),2007,"?100,000","50,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Volkswagen Passat 1.8 TSI MT,2010,"?480,000","80,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Toyota Etios GD,2012,"?300,000","124,000",Diesel,Individual,Manual,First Owner,2011 -2015
Chevrolet Beat Diesel LS,2013,"?190,000","70,000",Diesel,Individual,Manual,First Owner,2011 -2015
Ford Figo Diesel LXI,2012,"?190,000","130,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Ford EcoSport 1.5 Ti VCT MT Trend BSIV,2017,"?650,000","19,014",Petrol,Dealer,Manual,First Owner,2016 - 2020
Toyota Corolla Executive (HE),2009,"?300,000","23,262",Petrol,Dealer,Manual,First Owner,2006 - 2010
